index,mean,std,percentile,name,meanhue,std hue
324,165.0088808,9.677936337,0.086060714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\42.JPG,0.009113942,0.089149346
325,165.8518642,7.926353367,0.085442857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\43.JPG,0.002882927,0.005202934
326,165.7117949,8.136995298,0.086235714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\44.JPG,0.002861935,0.005391435
327,165.5337297,8.524300077,0.086507143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\45.JPG,0.008610927,0.105978484
328,163.842034,11.09382986,0.094957143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\46.JPG,0.029701716,0.222979753
329,164.0710385,9.592197142,0.094817857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\47.JPG,0.003760209,0.037846433
330,164.2389875,9.061224124,0.093967857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\48.JPG,0.003549298,0.036785251
331,164.9693901,8.252236561,0.093107143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\49.JPG,0.002545099,0.008630602
332,165.1019596,9.892903134,0.091492857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\5.JPG,0.007194462,0.067845824
333,164.9758847,8.095852863,0.09345,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\50.JPG,0.002432459,0.006158317
334,165.1023297,7.961402404,0.093360714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\51.JPG,0.002398538,0.007626757
335,165.0031896,8.09547217,0.094057143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\52.JPG,0.002378691,0.004979589
336,164.633573,8.915167344,0.093889286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\53.JPG,0.005121661,0.057422078
