index,mean,std,percentile,name,mean hue,std hue
6624,164.7244406,22.65849217,0.099278571,C:\opencv\nonwhite\463\46333\46333_CV016_StoneImage74_2018-08-06_050758.JPG,0.062936168,0.329063716
6625,159.4538171,25.54508609,0.134171429,C:\opencv\nonwhite\464\46415\46415_CV022_StoneImage112_2017-10-03_131059.JPG,0.14470798,0.461101838
6626,161.3105232,24.98962624,0.133921429,C:\opencv\nonwhite\464\46415\46415_CV022_StoneImage36_2017-10-03_131059.JPG,0.104963134,0.393251077
6627,158.3892339,24.8936144,0.133421429,C:\opencv\nonwhite\464\46415\46415_CV022_StoneImage74_2017-10-03_131059.JPG,0.169059528,0.502473718
6628,151.7719176,33.84709602,0.056542857,C:\opencv\nonwhite\464\4643\4643_CV950_StoneImage112_2020-03-19_105608.JPG,0.339677536,0.699878026
6629,145.7647059,32.8735646,0.055128571,C:\opencv\nonwhite\464\4643\4643_CV950_StoneImage36_2020-03-19_105608.JPG,0.380079174,0.729990911
6630,147.2653228,29.45371755,0.056871429,C:\opencv\nonwhite\464\4643\4643_CV950_StoneImage74_2020-03-19_105608.JPG,0.302382637,0.651115213
6631,175.105657,26.11144917,0.112918367,C:\opencv\nonwhite\469\469\469_CV021_StoneImage112_2016-07-19_083025.JPG,0.06890782,0.343846086
6632,176.4410288,24.06901825,0.1114,C:\opencv\nonwhite\469\469\469_CV021_StoneImage36_2016-07-19_083025.JPG,0.056767325,0.305147571
6633,177.0792026,24.21927406,0.113220408,C:\opencv\nonwhite\469\469\469_CV021_StoneImage74_2016-07-19_083025.JPG,0.034613851,0.228494509
6634,80.53947581,27.98202331,0.1766,C:\opencv\nonwhite\47\47\47_CV010_StoneImage113_2017-08-02_175948.JPG,1.570901149,0.496448322
6635,79.77130851,26.40635645,0.170832143,C:\opencv\nonwhite\47\47\47_CV010_StoneImage37_2017-08-02_175948.JPG,1.662604987,0.451023981
6636,84.78741594,28.73064549,0.1742,C:\opencv\nonwhite\47\47\47_CV010_StoneImage75_2017-08-02_175948.JPG,1.476782303,0.595699193
6637,162.9599258,23.79142469,0.059710714,C:\opencv\nonwhite\471\471205\471205_CV019_StoneImage112_2017-12-14_052703.JPG,0.074638454,0.331360846
6638,162.9372816,25.58223638,0.061328571,C:\opencv\nonwhite\471\471205\471205_CV019_StoneImage36_2017-12-14_052703.JPG,0.106934179,0.405716588
6639,162.9081579,27.7898206,0.060896429,C:\opencv\nonwhite\471\471205\471205_CV019_StoneImage74_2017-12-14_052703.JPG,0.109772185,0.421339313
6640,177.0385322,33.79042326,0.073871429,C:\opencv\nonwhite\475\4757\4757_CV036_StoneImage112_2019-07-18_171705.JPG,0.095284713,0.412398954
6641,170.9553185,29.37128457,0.074335714,C:\opencv\nonwhite\475\4757\4757_CV036_StoneImage36_2019-07-18_171705.JPG,0.12317235,0.462578171
6642,174.9657599,29.68221401,0.0751,C:\opencv\nonwhite\475\4757\4757_CV036_StoneImage74_2019-07-18_171705.JPG,0.095827198,0.409668851
6643,182.4463976,20.89647188,0.107071429,C:\opencv\nonwhite\479\4791390\4791390_CV040_StoneImage112_2017-02-18_084549.JPG,0.024339369,0.154717772
6644,184.4492583,17.69615186,0.091007143,C:\opencv\nonwhite\479\4791390\4791390_CV040_StoneImage36_2017-02-18_084549.JPG,0.020466563,0.161372508
6645,184.3679506,20.57040898,0.081503571,C:\opencv\nonwhite\479\4791390\4791390_CV040_StoneImage74_2017-02-18_084549.JPG,0.012086677,0.119480691
6646,174.5490385,25.19819303,0.099921429,C:\opencv\nonwhite\48\48\48_CV022_StoneImage113_2018-04-29_084926.JPG,0.076117487,0.367430273
6647,175.5643586,20.48482298,0.099082143,C:\opencv\nonwhite\48\48\48_CV022_StoneImage37_2018-04-29_084926.JPG,0.04066003,0.252383448
6648,170.3693816,25.87941191,0.0998,C:\opencv\nonwhite\48\48\48_CV022_StoneImage75_2018-04-29_084926.JPG,0.102649164,0.424366431
6649,170.3040752,27.49739256,0.041014286,C:\opencv\nonwhite\480\4809211\4809211_CV042_StoneImage113_2018-07-06_093647.JPG,0.105326809,0.415397871
6650,174.2907625,26.16958017,0.041639286,C:\opencv\nonwhite\480\4809211\4809211_CV042_StoneImage37_2018-07-06_093647.JPG,0.062147375,0.329433796
6651,170.8047586,25.71434535,0.041578571,C:\opencv\nonwhite\480\4809211\4809211_CV042_StoneImage75_2018-07-06_093647.JPG,0.087892728,0.394573347
6652,175.1393781,24.6786682,0.077871429,C:\opencv\nonwhite\482\4826\4826_CV023_StoneImage112_2016-07-04_104844.JPG,0.073432055,0.36200036
6653,172.248871,27.31294726,0.078296429,C:\opencv\nonwhite\482\4826\4826_CV023_StoneImage36_2016-07-04_104844.JPG,0.071028862,0.35246517
6654,172.0776458,24.21974278,0.079067857,C:\opencv\nonwhite\482\4826\4826_CV023_StoneImage74_2016-07-04_104844.JPG,0.076475742,0.364030322
6655,166.531458,22.1359007,0.056878571,C:\opencv\nonwhite\485\48541\48541_CV022_StoneImage112_2016-11-24_095055.JPG,0.065387201,0.332785182
6656,170.0477733,23.22446775,0.056217857,C:\opencv\nonwhite\485\48541\48541_CV022_StoneImage36_2016-11-24_095055.JPG,0.090667536,0.391186883
6657,170.0167112,24.46626312,0.057489286,C:\opencv\nonwhite\485\48541\48541_CV022_StoneImage74_2016-11-24_095055.JPG,0.081288554,0.370328679
6658,57.62007406,23.57899169,0.129235714,C:\opencv\nonwhite\488\4880005685857\4880005685857_CV015_StoneImage113_2018-09-11_041205.JPG,1.338837358,0.708196862
6659,48.4087297,20.74053147,0.092132143,C:\opencv\nonwhite\488\4880005685857\4880005685857_CV015_StoneImage37_2018-09-11_041205.JPG,1.751247108,0.508852932
6660,51.25601929,17.6346273,0.091817857,C:\opencv\nonwhite\488\4880005685857\4880005685857_CV015_StoneImage75_2018-09-11_041205.JPG,1.712301433,0.528105647
6661,150.3956935,24.23043046,0.148942857,C:\opencv\nonwhite\488\4880008197726\4880008197726_CV015_StoneImage112_2019-05-22_054129.JPG,0.093220164,0.384299303
6662,144.7545271,20.05669359,0.107882143,C:\opencv\nonwhite\488\4880008197726\4880008197726_CV015_StoneImage36_2019-05-22_054129.JPG,0.059994792,0.27901531
6663,137.3244177,28.89945727,0.1147,C:\opencv\nonwhite\488\4880008197726\4880008197726_CV015_StoneImage74_2019-05-22_054129.JPG,0.141544775,0.381747313
6664,77.39934296,27.41938817,0.159807143,C:\opencv\nonwhite\488\4880009692340\4880009692340_CV015_StoneImage112_2019-12-05_065701.JPG,1.114441019,0.898505988
6665,61.69412868,25.15680573,0.095196429,C:\opencv\nonwhite\488\4880009692340\4880009692340_CV015_StoneImage36_2019-12-05_065701.JPG,1.671094566,0.665554274
6666,71.16651435,24.00067059,0.097696429,C:\opencv\nonwhite\488\4880009692340\4880009692340_CV015_StoneImage74_2019-12-05_065701.JPG,1.54446152,0.715879665
6667,181.5476684,21.35676158,0.141378571,C:\opencv\nonwhite\49\49\49_CV021_StoneImage112_2020-03-04_131413.JPG,0.02087079,0.173709949
6668,173.5726034,26.05629261,0.125510714,C:\opencv\nonwhite\49\49\49_CV021_StoneImage36_2020-03-04_131413.JPG,0.047342513,0.284152284
6669,178.9999232,19.8033408,0.139514286,C:\opencv\nonwhite\49\49\49_CV021_StoneImage74_2020-03-04_131413.JPG,0.013588561,0.132468505
6670,191.2357183,22.03064886,0.146603571,C:\opencv\nonwhite\498\4986\4986_CV041_StoneImage112_2018-04-03_024759.JPG,0.01849152,0.144524162
